index,name,n_atoms,DFT_energy_pa,M3G_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
3928,structure_4534.xyz,69,-8.586464636231884,-8.596340013586957,-0.009875377355072601,0.009875377355072601,0.11022259285077186,0.15196583889914125,0.7161918431520462,0.007024402026824343,0.009644078078840622,0.013303508050739765,0.013603955824416107,0.00990935368463397,0.016867727041244507,0.013133443426340818,-0.001624582044314593,-0.00040688394801691175,0.00020442201639525592
3929,structure_4535.xyz,67,-8.565839036567164,-8.578174192513993,-0.01233515594682899,0.01233515594682899,0.13777433641936018,0.17418655270313013,0.4630938172340393,0.005909027480811346,0.007568979542740264,0.010246164786318937,0.01054214062224998,0.008161559700965881,0.013731840066611767,0.008845094591379166,0.0021504647738765925,-0.0023807563702575862,0.00018444938177708536
3930,structure_4536.xyz,70,-8.596704980571428,-8.603375244140626,-0.006670263569198198,0.006670263569198198,0.10410273528899606,0.1307457015239404,0.5073862451536115,0.0061027597555683615,0.008589303632144073,0.01115418703678491,0.012077270797728447,0.007551314750344318,0.017691798395389924,0.008219447964620485,-0.0007021336912202969,0.002113795015816322,-0.0003380687160188245
3931,structure_4537.xyz,65,-8.597473195076924,-8.59359882061298,0.003874374463944008,0.003874374463944008,0.07598479541846491,0.0946766347933294,0.30647908584796824,0.0018442556519294346,0.002227335970274204,0.002996855526968526,0.0030705208994959957,-0.003319095332699362,-0.0020659600413637236,-0.0036055112068424933,-0.0005229325249018757,0.000731335642740305,0.0008206991630288485
3932,structure_4538.xyz,69,-8.587712340724638,-8.597545679064764,-0.009833338340126119,0.009833338340126119,0.10963381896389351,0.15041662235298905,0.6904836744070053,0.006773044808748334,0.009370187140790593,0.012967171690737208,0.013223176039950478,0.009859783807769418,0.016198772005736828,0.012842959258705378,-0.0014841474185232073,-5.319359479472041e-05,-0.00019941276696044952
3933,structure_4539.xyz,70,-8.596704990285714,-8.60337437220982,-0.006669381924107043,0.006669381924107043,0.10410071752874804,0.13074547525184502,0.5074677695156424,0.006101381617535632,0.008586012947218854,0.011148880141566527,0.012072482044816835,0.0075502677746044355,0.017687219268736953,0.008209153381358192,-0.0007061611781864485,0.0021137088618843336,-0.00034177924044342944
3934,structure_454.xyz,70,-8.575540075000001,-8.593275669642857,-0.0177355946428559,0.0177355946428559,0.11843262487022696,0.1640730283330126,0.7236339300870895,0.007801974925162843,0.011052562251082362,0.015309338923543692,0.015627488501476283,0.012862120289355516,0.01973796752281487,0.013327928958460689,0.00043733879647334106,0.0001574456573507632,-0.00028904832652187906
3935,structure_4540.xyz,65,-8.59747319353846,-8.593597881610577,0.0038753119278833736,0.0038753119278833736,0.07597596771702812,0.09466952436167125,0.3064765396702569,0.0018476037760729962,0.0022317373293333866,0.0030033502662263345,0.0030768602526448246,-0.0033253802175750025,-0.002072493214654969,-0.003612177366449032,-0.0005231441807040937,0.0007314571637380141,0.0008209705133168654
3936,structure_4541.xyz,69,-8.588375235072464,-8.598319675611412,-0.009944440538948385,0.009944440538948385,0.11027502931431184,0.14981908680695016,0.6566389426589012,0.006602650263327329,0.008902751987887557,0.012360954657196999,0.012558256342745888,0.009674460394307971,0.015104903373867273,0.012303500203415751,-0.0012740254023810849,0.000562970235478133,-0.000696041970513761
3937,structure_4542.xyz,70,-8.596705005142857,-8.60337437220982,-0.0066693670669639715,0.0066693670669639715,0.10409432578294617,0.1307399226526493,0.5074411164359844,0.006102144689181503,0.008589272156146186,0.01115395263514074,0.012077344415397451,0.007549983170974883,0.01769259612501628,0.008219278609431058,-0.0007006157488351761,0.002112258023657887,-0.0003381364571737322
