effective_type,x,y,covered_before,covered_by_selected,covered_after
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00062,-0.22074115,-0.11494483,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00066,-0.22083841,-0.11329434,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00070,-0.20949635,-0.09591832,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00074,-0.21886162,-0.1060229,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00078,-0.22141454,-0.1135059,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00082,-0.21163069,-0.10470467,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00086,-0.18323024,-0.11429731,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00090,-0.23269475,-0.13303906,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00094,-0.2188628,-0.11324733,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00098,-0.18659991,-0.11240035,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00102,-0.22484501,-0.11517156,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00106,-0.21155579,-0.14706118,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00110,-0.21876524,-0.098450139,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00114,-0.23461391,-0.089804232,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00118,-0.22805068,-0.077287912,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00122,-0.24181214,-0.096556351,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00126,-0.24367537,-0.096464247,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00130,-0.24260683,-0.094834842,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00134,-0.24266794,-0.094725326,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00138,-0.24251585,-0.094562985,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00142,-0.26019928,-0.1517534,0,1,1
r2.7:Fe:cn10:CCCCFeFeFeFeFeFe:sim00146,-0.2454571,-0.16155471,0,1,1
