rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
179,large_file,4399,86,rare,23,5904,17727,24.984131014345564
180,large_file,15150,82,rare,23,5927,17704,25.08146079302611
181,large_file,15212,78,rare,23,5950,17681,25.178790571706656
182,large_file,15263,79,rare,23,5973,17658,25.276120350387203
183,large_file,15472,79,rare,23,5996,17635,25.37345012906775
184,large_file,15563,84,rare,23,6019,17612,25.470779907748298
185,large_file,15696,77,rare,23,6042,17589,25.568109686428844
186,large_file,18554,79,rare,23,6065,17566,25.66543946510939
187,large_file,2701,86,rare,22,6087,17544,25.758537514282086
188,large_file,4076,86,rare,22,6109,17522,25.851635563454785
189,large_file,4264,86,rare,22,6131,17500,25.94473361262748
190,large_file,4484,87,rare,22,6153,17478,26.037831661800176
191,large_file,4576,93,rare,22,6175,17456,26.130929710972875
192,large_file,8873,99,rare,22,6197,17434,26.22402776014557
193,large_file,9063,109,rare,22,6219,17412,26.31712580931827
194,large_file,9076,112,rare,22,6241,17390,26.410223858490966
195,large_file,9202,107,rare,22,6263,17368,26.50332190766366
196,large_file,9559,82,rare,22,6285,17346,26.59641995683636
197,large_file,9724,80,rare,22,6307,17324,26.689518006009056
198,large_file,9795,86,rare,22,6329,17302,26.78261605518175
199,large_file,15148,88,rare,22,6351,17280,26.87571410435445
200,large_file,15175,77,rare,22,6373,17258,26.968812153527146
201,large_file,15214,80,rare,22,6395,17236,27.061910202699842
202,large_file,15220,77,rare,22,6417,17214,27.15500825187254
203,large_file,15308,79,rare,22,6439,17192,27.248106301045237
204,large_file,15385,80,rare,22,6461,17170,27.341204350217936
205,large_file,15889,78,rare,22,6483,17148,27.43430239939063
206,large_file,3942,84,rare,21,6504,17127,27.523168719055477
207,large_file,3986,74,rare,21,6525,17106,27.612035038720325
208,large_file,4084,75,rare,21,6546,17085,27.70090135838517
209,large_file,4129,93,rare,21,6567,17064,27.78976767805002
210,large_file,4246,84,rare,21,6588,17043,27.878633997714868
211,large_file,4425,87,rare,21,6609,17022,27.967500317379713
212,large_file,4519,88,rare,21,6630,17001,28.05636663704456
213,large_file,5047,85,rare,21,6651,16980,28.145232956709407
214,large_file,7057,92,rare,21,6672,16959,28.234099276374256
215,large_file,9167,128,rare,21,6693,16938,28.3229655960391
216,large_file,9835,79,rare,21,6714,16917,28.41183191570395
217,large_file,10135,82,rare,21,6735,16896,28.500698235368795
218,large_file,10484,80,rare,21,6756,16875,28.589564555033643
219,large_file,10591,83,rare,21,6777,16854,28.67843087469849
220,large_file,10783,126,rare,21,6798,16833,28.767297194363337
221,large_file,11915,96,rare,21,6819,16812,28.856163514028182
222,large_file,12551,95,rare,21,6840,16791,28.94502983369303
223,large_file,15155,80,rare,21,6861,16770,29.033896153357876
224,large_file,15215,78,rare,21,6882,16749,29.122762473022725
225,large_file,15223,83,rare,21,6903,16728,29.21162879268757
226,large_file,15368,72,rare,21,6924,16707,29.30049511235242
227,large_file,15438,77,rare,21,6945,16686,29.389361432017264
228,large_file,15468,79,rare,21,6966,16665,29.478227751682113
229,large_file,15564,86,rare,21,6987,16644,29.56709407134696
230,large_file,15632,77,rare,21,7008,16623,29.655960391011806
231,large_file,15969,77,rare,21,7029,16602,29.744826710676655
232,large_file,3980,87,rare,20,7049,16582,29.82946130083365
233,large_file,3981,85,rare,20,7069,16562,29.914095890990648
234,large_file,4046,87,rare,20,7089,16542,29.998730481147646
235,large_file,4078,86,rare,20,7109,16522,30.08336507130464
236,large_file,4125,82,rare,20,7129,16502,30.16799966146164
237,large_file,4254,88,rare,20,7149,16482,30.252634251618638
238,large_file,4314,90,rare,20,7169,16462,30.337268841775632
239,large_file,4327,86,rare,20,7189,16442,30.42190343193263
240,large_file,4387,87,rare,20,7209,16422,30.50653802208963
241,large_file,9013,117,rare,20,7229,16402,30.591172612246623
242,large_file,9111,110,rare,20,7249,16382,30.67580720240362
243,large_file,9223,106,rare,20,7269,16362,30.76044179256062
244,large_file,9741,81,rare,20,7289,16342,30.845076382717618
245,large_file,10766,92,rare,20,7309,16322,30.929710972874613
246,large_file,12455,95,rare,20,7329,16302,31.01434556303161
247,large_file,14962,76,rare,20,7349,16282,31.09898015318861
248,large_file,15158,80,rare,20,7369,16262,31.183614743345604
249,large_file,15169,77,rare,20,7389,16242,31.268249333502602
250,large_file,15184,77,rare,20,7409,16222,31.3528839236596
251,large_file,15230,80,rare,20,7429,16202,31.437518513816595
252,large_file,15255,77,rare,20,7449,16182,31.522153103973594
253,large_file,15322,78,rare,20,7469,16162,31.606787694130592
254,large_file,15556,75,rare,20,7489,16142,31.691422284287587
255,large_file,3958,87,rare,20,7509,16122,31.776056874444585
256,large_file,4058,86,rare,19,7528,16103,31.856459735093733
257,large_file,4089,79,rare,19,7547,16084,31.93686259574288
258,large_file,4092,87,rare,19,7566,16065,32.017265456392025
259,large_file,4143,85,rare,19,7585,16046,32.097668317041176
260,large_file,4148,86,rare,19,7604,16027,32.17807117769032
261,large_file,4172,83,rare,19,7623,16008,32.25847403833947
262,large_file,4184,87,rare,19,7642,15989,32.338876898988616
263,large_file,4187,87,rare,19,7661,15970,32.41927975963777
264,large_file,4212,88,rare,19,7680,15951,32.49968262028691
265,large_file,4370,89,rare,19,7699,15932,32.580085480936056
266,large_file,4730,88,rare,19,7718,15913,32.66048834158521
267,large_file,8822,122,rare,19,7737,15894,32.74089120223435
268,large_file,8957,108,rare,19,7756,15875,32.8212940628835
269,large_file,8958,104,rare,19,7775,15856,32.90169692353265
270,large_file,8980,113,rare,19,7794,15837,32.9820997841818
271,large_file,8992,110,rare,19,7813,15818,33.06250264483094
272,large_file,9324,112,rare,19,7832,15799,33.14290550548009
273,large_file,9575,78,rare,19,7851,15780,33.22330836612924
274,large_file,10896,83,rare,19,7870,15761,33.30371122677838
275,large_file,11353,95,rare,19,7889,15742,33.384114087427534
276,large_file,11939,95,rare,19,7908,15723,33.46451694807668
277,large_file,12355,79,rare,19,7927,15704,33.54491980872583
278,large_file,15170,75,rare,19,7946,15685,33.625322669374974
279,large_file,15208,77,rare,19,7965,15666,33.70572553002412
280,large_file,15242,81,rare,19,7984,15647,33.78612839067327
281,large_file,15268,76,rare,19,8003,15628,33.866531251322414
282,large_file,15328,84,rare,19,8022,15609,33.946934111971565
283,large_file,15349,83,rare,19,8041,15590,34.02733697262071
284,large_file,15374,73,rare,19,8060,15571,34.10773983326986
285,large_file,15375,71,rare,19,8079,15552,34.188142693919005
286,large_file,15414,79,rare,19,8098,15533,34.26854555456815
287,large_file,15426,78,rare,19,8117,15514,34.3489484152173
288,large_file,15482,79,rare,19,8136,15495,34.429351275866445
289,large_file,15491,75,rare,19,8155,15476,34.509754136515596
290,large_file,15526,80,rare,19,8174,15457,34.59015699716474
291,large_file,15537,72,rare,19,8193,15438,34.67055985781389
292,large_file,15688,75,rare,19,8212,15419,34.750962718463036
293,large_file,16043,75,rare,19,8231,15400,34.83136557911218
294,large_file,3970,85,rare,19,8250,15381,34.91176843976133
295,large_file,4053,82,rare,19,8269,15362,34.992171300410476
296,large_file,4255,88,rare,18,8287,15344,35.06834243155178
297,large_file,4270,83,rare,18,8305,15326,35.14451356269307
298,large_file,4315,87,rare,18,8323,15308,35.22068469383437
299,large_file,4410,87,rare,18,8341,15290,35.296855824975665
300,large_file,4532,93,rare,18,8359,15272,35.373026956116966
301,large_file,4699,83,rare,18,8377,15254,35.44919808725826
302,large_file,6703,91,rare,18,8395,15236,35.52536921839956
303,large_file,6971,81,rare,18,8413,15218,35.601540349540855
304,large_file,8823,123,rare,18,8431,15200,35.677711480682156
305,large_file,9533,73,rare,18,8449,15182,35.75388261182345
306,large_file,10064,124,rare,18,8467,15164,35.83005374296475
307,large_file,11829,94,rare,18,8485,15146,35.906224874106044
308,large_file,15161,77,rare,18,8503,15128,35.982396005247345
309,large_file,15185,80,rare,18,8521,15110,36.05856713638864
310,large_file,15194,77,rare,18,8539,15092,36.13473826752994
311,large_file,15199,82,rare,18,8557,15074,36.210909398671234
312,large_file,15213,80,rare,18,8575,15056,36.287080529812535
313,large_file,15232,72,rare,18,8593,15038,36.36325166095383
314,large_file,15297,78,rare,18,8611,15020,36.43942279209513
315,large_file,15302,77,rare,18,8629,15002,36.51559392323642
316,large_file,15355,80,rare,18,8647,14984,36.591765054377724
317,large_file,15356,83,rare,18,8665,14966,36.667936185519025
318,large_file,15362,74,rare,18,8683,14948,36.74410731666032
319,large_file,15391,74,rare,18,8701,14930,36.82027844780162
320,large_file,15516,81,rare,18,8719,14912,36.896449578942914
321,large_file,15519,83,rare,18,8737,14894,36.972620710084215
322,large_file,15533,76,rare,18,8755,14876,37.04879184122551
323,large_file,15757,79,rare,18,8773,14858,37.12496297236681
324,large_file,16082,73,rare,18,8791,14840,37.2011341035081
325,large_file,1208,75,rare,18,8809,14822,37.277305234649404
326,large_file,3966,88,rare,18,8827,14804,37.3534763657907
327,large_file,4003,86,rare,17,8844,14787,37.42541576742415
328,large_file,4083,83,rare,17,8861,14770,37.49735516905759
329,large_file,4105,85,rare,17,8878,14753,37.56929457069104
