source,source_idx,reason
large_file,178,rejected_by_BondFilter_min_interatomic_distance
large_file,179,rejected_by_BondFilter_min_interatomic_distance
large_file,180,rejected_by_BondFilter_min_interatomic_distance
large_file,181,rejected_by_BondFilter_min_interatomic_distance
large_file,182,rejected_by_BondFilter_min_interatomic_distance
large_file,183,rejected_by_BondFilter_min_interatomic_distance
large_file,184,rejected_by_BondFilter_min_interatomic_distance
large_file,185,rejected_by_BondFilter_min_interatomic_distance
large_file,186,rejected_by_BondFilter_min_interatomic_distance
large_file,187,rejected_by_BondFilter_min_interatomic_distance
large_file,188,rejected_by_BondFilter_min_interatomic_distance
large_file,189,rejected_by_BondFilter_min_interatomic_distance
large_file,190,rejected_by_BondFilter_min_interatomic_distance
large_file,191,rejected_by_BondFilter_min_interatomic_distance
large_file,192,rejected_by_BondFilter_min_interatomic_distance
large_file,193,rejected_by_BondFilter_min_interatomic_distance
large_file,194,rejected_by_BondFilter_min_interatomic_distance
large_file,195,rejected_by_BondFilter_min_interatomic_distance
large_file,196,rejected_by_BondFilter_min_interatomic_distance
large_file,197,rejected_by_BondFilter_min_interatomic_distance
large_file,198,rejected_by_BondFilter_min_interatomic_distance
large_file,199,rejected_by_BondFilter_min_interatomic_distance
large_file,200,rejected_by_BondFilter_min_interatomic_distance
large_file,201,rejected_by_BondFilter_min_interatomic_distance
large_file,202,rejected_by_BondFilter_min_interatomic_distance
large_file,203,rejected_by_BondFilter_min_interatomic_distance
large_file,204,rejected_by_BondFilter_min_interatomic_distance
large_file,205,rejected_by_BondFilter_min_interatomic_distance
large_file,206,rejected_by_BondFilter_min_interatomic_distance
large_file,207,rejected_by_BondFilter_min_interatomic_distance
large_file,208,rejected_by_BondFilter_min_interatomic_distance
large_file,209,rejected_by_BondFilter_min_interatomic_distance
large_file,210,rejected_by_BondFilter_min_interatomic_distance
large_file,211,rejected_by_BondFilter_min_interatomic_distance
large_file,212,rejected_by_BondFilter_min_interatomic_distance
large_file,213,rejected_by_BondFilter_min_interatomic_distance
large_file,214,rejected_by_BondFilter_min_interatomic_distance
large_file,215,rejected_by_BondFilter_min_interatomic_distance
large_file,216,rejected_by_BondFilter_min_interatomic_distance
large_file,217,rejected_by_BondFilter_min_interatomic_distance
large_file,218,rejected_by_BondFilter_min_interatomic_distance
large_file,219,rejected_by_BondFilter_min_interatomic_distance
large_file,220,rejected_by_BondFilter_min_interatomic_distance
large_file,221,rejected_by_BondFilter_min_interatomic_distance
large_file,222,rejected_by_BondFilter_min_interatomic_distance
large_file,223,rejected_by_BondFilter_min_interatomic_distance
large_file,224,rejected_by_BondFilter_min_interatomic_distance
large_file,225,rejected_by_BondFilter_min_interatomic_distance
large_file,226,rejected_by_BondFilter_min_interatomic_distance
large_file,227,rejected_by_BondFilter_min_interatomic_distance
large_file,228,rejected_by_BondFilter_min_interatomic_distance
large_file,229,rejected_by_BondFilter_min_interatomic_distance
large_file,230,rejected_by_BondFilter_min_interatomic_distance
large_file,231,rejected_by_BondFilter_min_interatomic_distance
large_file,232,rejected_by_BondFilter_min_interatomic_distance
large_file,233,rejected_by_BondFilter_min_interatomic_distance
large_file,234,rejected_by_BondFilter_min_interatomic_distance
large_file,235,rejected_by_BondFilter_min_interatomic_distance
large_file,236,rejected_by_BondFilter_min_interatomic_distance
large_file,237,rejected_by_BondFilter_min_interatomic_distance
large_file,238,rejected_by_BondFilter_min_interatomic_distance
large_file,239,rejected_by_BondFilter_min_interatomic_distance
large_file,240,rejected_by_BondFilter_min_interatomic_distance
large_file,241,rejected_by_BondFilter_min_interatomic_distance
large_file,242,rejected_by_BondFilter_min_interatomic_distance
large_file,243,rejected_by_BondFilter_min_interatomic_distance
large_file,244,rejected_by_BondFilter_min_interatomic_distance
large_file,245,rejected_by_BondFilter_min_interatomic_distance
large_file,246,rejected_by_BondFilter_min_interatomic_distance
large_file,247,rejected_by_BondFilter_min_interatomic_distance
large_file,248,rejected_by_BondFilter_min_interatomic_distance
large_file,249,rejected_by_BondFilter_min_interatomic_distance
large_file,250,rejected_by_BondFilter_min_interatomic_distance
large_file,251,rejected_by_BondFilter_min_interatomic_distance
large_file,252,rejected_by_BondFilter_min_interatomic_distance
large_file,253,rejected_by_BondFilter_min_interatomic_distance
large_file,254,rejected_by_BondFilter_min_interatomic_distance
large_file,255,rejected_by_BondFilter_min_interatomic_distance
large_file,256,rejected_by_BondFilter_min_interatomic_distance
large_file,257,rejected_by_BondFilter_min_interatomic_distance
large_file,258,rejected_by_BondFilter_min_interatomic_distance
large_file,259,rejected_by_BondFilter_min_interatomic_distance
large_file,260,rejected_by_BondFilter_min_interatomic_distance
large_file,261,rejected_by_BondFilter_min_interatomic_distance
large_file,262,rejected_by_BondFilter_min_interatomic_distance
large_file,263,rejected_by_BondFilter_min_interatomic_distance
large_file,264,rejected_by_BondFilter_min_interatomic_distance
large_file,265,rejected_by_BondFilter_min_interatomic_distance
large_file,266,rejected_by_BondFilter_min_interatomic_distance
large_file,267,rejected_by_BondFilter_min_interatomic_distance
large_file,268,rejected_by_BondFilter_min_interatomic_distance
large_file,269,rejected_by_BondFilter_min_interatomic_distance
large_file,270,rejected_by_BondFilter_min_interatomic_distance
large_file,271,rejected_by_BondFilter_min_interatomic_distance
large_file,272,rejected_by_BondFilter_min_interatomic_distance
large_file,273,rejected_by_BondFilter_min_interatomic_distance
large_file,274,rejected_by_BondFilter_min_interatomic_distance
large_file,275,rejected_by_BondFilter_min_interatomic_distance
large_file,276,rejected_by_BondFilter_min_interatomic_distance
large_file,277,rejected_by_BondFilter_min_interatomic_distance
large_file,278,rejected_by_BondFilter_min_interatomic_distance
large_file,279,rejected_by_BondFilter_min_interatomic_distance
large_file,280,rejected_by_BondFilter_min_interatomic_distance
large_file,281,rejected_by_BondFilter_min_interatomic_distance
large_file,282,rejected_by_BondFilter_min_interatomic_distance
large_file,283,rejected_by_BondFilter_min_interatomic_distance
large_file,284,rejected_by_BondFilter_min_interatomic_distance
large_file,285,rejected_by_BondFilter_min_interatomic_distance
large_file,286,rejected_by_BondFilter_min_interatomic_distance
large_file,287,rejected_by_BondFilter_min_interatomic_distance
large_file,288,rejected_by_BondFilter_min_interatomic_distance
large_file,289,rejected_by_BondFilter_min_interatomic_distance
large_file,290,rejected_by_BondFilter_min_interatomic_distance
large_file,291,rejected_by_BondFilter_min_interatomic_distance
large_file,292,rejected_by_BondFilter_min_interatomic_distance
large_file,293,rejected_by_BondFilter_min_interatomic_distance
large_file,294,rejected_by_BondFilter_min_interatomic_distance
large_file,295,rejected_by_BondFilter_min_interatomic_distance
large_file,296,rejected_by_BondFilter_min_interatomic_distance
large_file,297,rejected_by_BondFilter_min_interatomic_distance
large_file,298,rejected_by_BondFilter_min_interatomic_distance
large_file,299,rejected_by_BondFilter_min_interatomic_distance
large_file,300,rejected_by_BondFilter_min_interatomic_distance
large_file,301,rejected_by_BondFilter_min_interatomic_distance
large_file,302,rejected_by_BondFilter_min_interatomic_distance
large_file,303,rejected_by_BondFilter_min_interatomic_distance
large_file,304,rejected_by_BondFilter_min_interatomic_distance
large_file,305,rejected_by_BondFilter_min_interatomic_distance
large_file,306,rejected_by_BondFilter_min_interatomic_distance
large_file,307,rejected_by_BondFilter_min_interatomic_distance
large_file,308,rejected_by_BondFilter_min_interatomic_distance
large_file,309,rejected_by_BondFilter_min_interatomic_distance
large_file,310,rejected_by_BondFilter_min_interatomic_distance
large_file,311,rejected_by_BondFilter_min_interatomic_distance
