rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
178,large_file,2861,75,rare,16,4689,7814,37.50299928017276
179,large_file,6366,85,rare,16,4705,7798,37.63096856754379
180,large_file,7070,89,rare,16,4721,7782,37.75893785491482
181,large_file,8484,106,rare,16,4737,7766,37.88690714228585
182,large_file,8789,110,rare,16,4753,7750,38.01487642965688
183,large_file,8930,84,rare,16,4769,7734,38.14284571702791
184,large_file,9920,112,rare,16,4785,7718,38.27081500439895
185,large_file,9986,73,rare,16,4801,7702,38.39878429176998
186,large_file,9993,85,rare,16,4817,7686,38.52675357914101
187,large_file,10367,116,rare,16,4833,7670,38.65472286651204
188,large_file,11517,84,rare,16,4849,7654,38.78269215388307
189,large_file,15403,106,rare,16,4865,7638,38.9106614412541
190,large_file,15750,107,rare,16,4881,7622,39.03863072862513
191,large_file,15937,82,rare,16,4897,7606,39.16660001599616
192,large_file,16171,86,rare,16,4913,7590,39.29456930336719
193,large_file,17881,86,rare,16,4929,7574,39.42253859073822
194,large_file,19637,78,rare,16,4945,7558,39.55050787810925
195,large_file,755,110,rare,15,4960,7543,39.67047908501959
196,large_file,1544,86,rare,15,4975,7528,39.790450291929936
197,large_file,2778,87,rare,15,4990,7513,39.91042149884028
198,large_file,3054,87,rare,15,5005,7498,40.03039270575062
199,large_file,5141,110,rare,15,5020,7483,40.150363912660964
200,large_file,7555,91,rare,15,5035,7468,40.2703351195713
201,large_file,7886,80,rare,15,5050,7453,40.39030632648164
202,large_file,8202,91,rare,15,5065,7438,40.510277533391985
203,large_file,9743,70,rare,15,5080,7423,40.63024874030233
204,large_file,11015,131,rare,15,5095,7408,40.75021994721267
205,large_file,14544,112,rare,15,5110,7393,40.87019115412301
206,large_file,15508,86,rare,15,5125,7378,40.99016236103335
207,large_file,16014,92,rare,15,5140,7363,41.11013356794369
208,large_file,16442,93,rare,15,5155,7348,41.230104774854034
209,large_file,19068,85,rare,15,5170,7333,41.35007598176438
210,large_file,1069,84,rare,14,5184,7319,41.46204910821403
211,large_file,1476,111,rare,14,5198,7305,41.57402223466368
