index,name,n_atoms,DFT_energy_pa,M3G_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
156,structure_1139.xyz,59,-8.374198935084745,-8.418543928760593,-0.04434499367584799,0.04434499367584799,0.1455642993030491,0.18389093194973674,0.5845915079116821,0.010261902313989898,0.01249004132766529,0.013491561015446981,0.015809176679322523,-0.001860838383436203,-0.018669355660676956,-0.019944489002227783,-0.002177614253014326,0.008339714026078582,-0.010579402558505535
157,structure_114.xyz,53,-8.506303274528303,-8.51609255232901,-0.009789277800706486,0.009789277800706486,0.15974395498984828,0.20329530235215207,0.6186705231666565,0.003737752054197093,0.004457980766733372,0.004324578835318486,0.005422690249938158,-0.00850547174923122,-0.003950373036786914,0.0005178917199373245,-0.002244977978989482,0.003537772223353386,-0.0036700256168842316
158,structure_1140.xyz,59,-8.408051434576272,-8.439574160818326,-0.03152272624205388,0.03152272624205388,0.1662291525757877,0.2146650371112975,0.6762199401855469,0.005945714468301351,0.008404477125337335,0.009794582263566554,0.011650897652821686,0.0010037897154688835,-0.01286489877384156,-0.015515058301389217,0.0031179277575574815,-0.0025420671809115447,0.0006305450806394219
159,structure_1141.xyz,59,-8.406751433728815,-8.438403113413665,-0.03165167968485072,0.03165167968485072,0.16804800790571475,0.22020055818442785,0.7318277359008789,0.005665269369880359,0.008729958198615648,0.010465874491880337,0.012301776405814103,0.001525349449366331,-0.013278120197355747,-0.016594153828918934,-0.001101131085306406,-5.900627002120018e-05,0.0014338553883135319
160,structure_1142.xyz,59,-8.377240117288135,-8.40828898801642,-0.031048870728284328,0.031048870728284328,0.16410819768029564,0.20616766688677013,0.5512206554412842,0.007345455429913272,0.00956611803436946,0.010040785201454128,0.012455817325338882,0.0011892039328813553,-0.00969875049759139,-0.019234401173889637,-0.001211821218021214,0.005655969493091106,-0.007082586264004931
161,structure_1143.xyz,59,-8.381028471694915,-8.411857992915785,-0.030829521220869793,0.030829521220869793,0.15842319651385822,0.1924600074346929,0.4993579238653183,0.00777635294070933,0.00941681939540798,0.009571653325110674,0.01182234929588594,0.0012062168680131435,-0.009311208501458168,-0.01819753460586071,-0.004148920241277665,0.006449310574680567,-0.0073449268529657274
162,structure_1144.xyz,59,-8.377546479830508,-8.408501059322035,-0.030954579491526246,0.030954579491526246,0.16598766900422735,0.20791834359139746,0.603976272046566,0.009132976100469628,0.011371901075621105,0.01248388085514307,0.014562280977160376,-0.0023432904854416847,-0.014871744439005852,-0.020236607640981674,0.0008202288299798965,0.007141865091398358,-0.009384120116010308
163,structure_1145.xyz,59,-8.371150920677966,-8.41482130147643,-0.043670380798463526,0.043670380798463526,0.18754579329607998,0.2431028362529419,0.8469661474227905,0.0081386393479382,0.009942069709304563,0.010110428867240747,0.011991120916055767,-0.0014247074723243713,-0.012051624245941639,-0.01685495488345623,-0.0026335688307881355,0.011734236031770706,-0.004132744623348117
164,structure_1146.xyz,59,-8.362882661525424,-8.404946537341102,-0.042063875815678387,0.042063875815678387,0.16293359276612346,0.20641954799835113,0.6481842398643494,0.007546436167710151,0.008977933158691631,0.00949756100696201,0.010524271415411391,-0.0031030913814902306,-0.012284912576433271,-0.013104679062962532,-0.01076545414980501,6.738887168467045e-05,0.005953090963885188
165,structure_1147.xyz,59,-8.367410363728814,-8.41047797768803,-0.043067613959216544,0.043067613959216544,0.16698552005250786,0.21152226239788635,0.6551718711853027,0.006563593924511224,0.007963653283931907,0.006969242046276729,0.008190702406518209,-0.0009627453982830048,-0.00912549253553152,-0.01081948820501566,-0.012761097168549895,0.0030714544700458646,0.0026412857696413994
